run_key,ifc_model,llm_model,run_type,query_id,query_type,pattern,query_text,understanding_correct,end_to_end_correct,cache_hit,t_understanding,t_retrieval,t_computation,t_response,total_time,error
House_gpt-4_cold,House,gpt-4,cold,H001,element,general_question,Which walls touch Bodenplatte?,True,True,False,3.540510654449463,0.004612445831298828,0.48725318908691406,5.1962385177612305,9.23218297958374,
House_gpt-4_cold,House,gpt-4,cold,H002,element,imperative,List all slabs that cover Wand-Int-ERDG-4.,True,True,False,3.79630708694458,0.01684284210205078,0.09141230583190918,1.9230823516845703,5.82764458656311,
House_gpt-4_cold,House,gpt-4,cold,H003,element,fact_verification,Are there any windows disjoint from Wand-Ext-OG-1?,True,True,False,3.502453327178955,0.003126859664916992,4.914234161376953,5.774328231811523,14.194142580032349,
House_gpt-4_cold,House,gpt-4,cold,H004,element,general_question,Which doors touch Wand-Int-ERDG-1?,True,True,False,2.435373544692993,0.006595134735107422,0.08292436599731445,1.4359605312347412,3.9608535766601562,
House_gpt-4_cold,House,gpt-4,cold,H005,element,imperative,Show me all walls on Erdgeschoss that touch Bodenplatte.,True,True,False,2.8531320095062256,0.008537530899047852,0.02557063102722168,5.74774432182312,8.635502576828003,
House_gpt-4_cold,House,gpt-4,cold,H006,element,fact_verification,Is there any beam that touches First?,True,True,False,3.3943276405334473,0.00930333137512207,0.04355931282043457,1.4954395294189453,4.947770595550537,
House_gpt-4_cold,House,gpt-4,cold,H007,element,general_question,Which members are disjoint from Bodenplatte?,True,True,False,4.609857559204102,0.006198883056640625,0.3961913585662842,12.631455898284912,17.644525289535522,
House_gpt-4_cold,House,gpt-4,cold,H008,element,imperative,List all windows on Dachgeschoss that touch Wand-Ext-OG-2.,True,True,False,3.0078673362731934,0.017099380493164062,0.09094405174255371,1.4713592529296875,4.587270021438599,
House_gpt-4_cold,House,gpt-4,cold,H009,element,fact_verification,Does Wendeltreppe touch any walls?,True,True,False,2.5641331672668457,0.0036766529083251953,0.1419663429260254,1.5966055393218994,4.3084070682525635,
House_gpt-4_cold,House,gpt-4,cold,H010,element,general_question,Which slabs cover Wand-Ext-ERDG-2?,True,True,False,2.2738003730773926,0.004974842071533203,0.13477015495300293,2.5720930099487305,4.988030433654785,
